GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
09월 18일,삼성,41,34,9,13,0,8,5,0,6,6,10,168,2,23,0.382,0.91,3.33,0.518,5.93,9,37,10,6,6,2,0,5,1,08월 12일,126-90,4-0,35,6,1.33,1.67,-0.018,-1.41
09월 18일,롯데,40,36,3,12,0,3,3,0,3,8,14,139,2,20,0.333,0.736,3.06,-0.049,-0.59,8,39,11,6,6,4,0,6,1,11월 06일,156-97,04월 02일,50,6.75,1.88,0.93,-0.452,-1.92
09월 18일,KT,39,34,6,11,1,6,4,0,6,11,6,156,0,20,0.324,0.807,1.92,0.452,1.92,9,40,12,3,3,3,0,3,0,08월 14일,139-94,02월 01일,50,3,1.67,1.84,0.048,0.59
09월 18일,NC,39,31,5,5,1,5,8,0,8,8,10,166,0,10,0.161,0.656,0.99,0.184,0.4,9,33,5,1,1,3,0,6,0,07월 11일,123-78,1-0,59,1,0.89,0.75,0.317,3.6
09월 18일,키움,33,30,1,5,0,1,3,0,6,7,11,123,1,7,0.167,0.442,1.39,-0.318,-3.6,9,39,5,5,5,8,0,8,1,08월 10일,166-94,3-0,49,5,1.44,0.35,-0.184,-0.41
09월 20일,NC,37,34,2,8,0,2,2,1,9,8,9,173,1,13,0.235,0.591,1.63,-0.152,-2.6,8,41,10,8,6,4,3,9,0,05월 09일,159-97,04월 01일,37,6.75,1.75,0.4,-0.348,-3.92
09월 20일,두산,41,34,8,10,0,8,4,3,9,5,9,159,0,23,0.294,0.797,2.24,0.348,3.93,9,37,8,2,2,2,1,9,0,08월 09일,173-107,2-0,53,2,1.11,0.72,0.153,2.59
09월 20일,KT,33,31,2,4,0,2,1,1,11,6,9,131,1,9,0.129,0.311,2.94,-0.336,-2.59,8,37,7,4,4,5,1,5,1,06월 11일,132-82,2-0,37,4.5,1.5,0.6,-0.163,0.08
09월 20일,SSG,37,30,4,7,1,4,5,1,5,6,11,132,0,17,0.233,0.694,2.69,0.165,-0.08,9,33,4,2,1,1,1,11,0,06월 09일,131-92,0-0,75,1,0.56,0.77,0.336,2.59
09월 20일,LG,43,38,11,12,3,10,3,1,5,9,10,157,1,13,0.316,0.986,1.62,0.054,6.4,9,39,9,1,0,4,0,11,0,10월 05일,158-104,5-0,68,0,1.44,2.78,0.445,3.6
