GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2021-04-09,0,42,40,6,13,0,6,2,0,10,11,9,162,0,24,0.325,0.757,1.66,-0.115,1.03,9.0,47,14,10,10,5,2,5,1,18,10.0,2.11,0.36,-0.384,-5.02,175,118,4,3,0,1
2021-04-09,3,42,36,7,10,0,7,6,0,12,12,5,166,1,20,0.278,0.798,1.01,0.277,2.01,9.0,36,6,2,2,4,0,9,0,76,2.0,1.11,0.58,0.223,2.97,132,87,2,1,1,0
2021-04-09,4,36,32,2,6,0,2,4,0,9,12,2,132,2,15,0.188,0.466,2.35,-0.223,-2.98,9.0,42,10,7,7,6,0,12,0,35,7.0,1.78,0.3,-0.277,-2.01,166,98,1,0,0,1
2021-04-10,5,40,35,4,11,0,4,1,2,6,7,7,159,0,18,0.314,0.73,3.16,0.162,0.02,9.0,40,9,3,3,6,1,9,2,55,3.0,1.67,2.6,0.337,1.98,158,94,1,0,1,0
2021-04-10,8,40,33,3,9,2,3,6,1,9,8,11,158,1,16,0.273,0.915,5.67,-0.338,-1.97,9.0,40,11,4,4,1,2,6,0,49,4.0,1.33,1.21,-0.162,-0.03,159,102,2,1,0,1
2021-04-10,1,59,46,18,19,2,16,11,1,8,11,6,231,0,31,0.413,1.199,1.53,0.395,13.01,9.0,34,5,1,1,1,2,9,0,66,1.0,0.67,0.22,0.106,3.98,132,88,0,0,1,0
2021-04-10,6,34,31,1,5,0,1,1,2,9,9,9,132,0,10,0.161,0.396,0.71,-0.106,-3.98,9.0,59,19,18,15,11,1,8,2,25,15.0,3.33,0.22,-0.394,-13.03,231,127,5,3,0,1
2021-04-10,7,39,35,6,8,2,6,4,0,5,11,3,169,0,11,0.229,0.765,4.85,0.054,1.03,8.0,36,9,7,7,5,0,7,2,31,7.88,1.75,1.4,-0.553,-3.57,152,90,3,0,0,0
2021-04-10,2,36,31,7,9,2,7,5,0,7,7,13,152,1,13,0.29,0.937,1.62,0.553,3.57,9.0,39,8,6,6,4,0,5,2,32,6.0,1.33,1.54,-0.053,-1.03,169,108,2,0,1,1
2021-04-10,9,43,38,9,12,2,9,3,2,8,16,4,149,1,13,0.316,0.948,1.59,0.436,4.02,9.0,35,5,2,2,3,1,6,0,68,2.0,0.89,0.22,0.064,2.98,130,80,0,0,1,0
