home_Team,away_Team,home_Recent_5_Win,home_Recent_5_Loss,home_OPS,home_BB,home_HBP,home_SO,home_ERA,home_BB_p,home_K,home_IR,home_IS,home_TBF,away_OPS,away_BB,away_HBP,away_SO,away_ERA,away_BB_p,away_K,away_IR,away_IS,away_TBF
4,8,1,4,0.67,4.2,1,6.4,6.926,2.4,8.6,5,3,38.4,0.87,4.6,0,6.0,4.2,2.8,7.8,4,3,38.0
0,9,0,5,0.89,3.2,0,7.8,8.106,6.2,6.8,7,0,41.2,0.694,3.2,1,6.8,6.726000000000001,5.4,6.2,3,3,41.6
7,6,3,2,0.454,4.6,0,8.0,5.9,3.6,6.4,3,2,41.2,0.807,3.6,0,5.8,4.176,4.0,8.0,2,0,37.0
3,2,3,2,0.837,5.0,1,6.0,5.076,5.0,4.8,0,0,39.0,0.647,3.0,2,8.4,4.252000000000001,3.0,5.8,2,2,37.2
9,8,0,5,0.581,6.6,0,10.4,8.382000000000001,5.0,6.8,3,0,42.2,0.548,2.8,0,6.0,1.4,3.2,8.0,2,2,34.8
1,9,3,2,0.516,1.8,0,6.4,4.126,5.2,7.6,3,2,39.8,0.485,4.8,0,8.2,4.076,3.0,5.2,0,0,37.6
8,3,3,2,0.881,3.8,1,5.6,3.5,2.2,5.6,0,0,36.4,0.468,3.4,0,5.2,6.2,3.8,5.4,2,0,41.0
1,5,1,4,0.398,3.0,1,7.6,5.176,3.0,6.4,4,0,40.6,0.555,5.2,1,8.8,6.25,4.6,7.4,2,0,40.6
2,1,2,3,0.777,2.4,0,9.6,4.4,4.2,6.4,3,3,42.6,0.877,5.0,0,8.8,2.132,3.0,8.2,6,0,37.6
0,7,3,2,0.17,4.2,0,7.2,4.576,3.2,6.6,4,1,38.2,0.625,3.0,1,7.2,2.826,3.4,9.2,2,0,37.0
6,3,1,4,1.192,4.2,1,8.4,5.2700000000000005,3.6,8.4,2,0,39.8,0.325,4.2,0,6.4,6.0,3.8,9.0,2,0,41.2
6,4,1,4,0.77,2.6,0,9.4,3.1,5.8,5.8,2,1,38.4,0.686,2.8,0,8.0,2.676,2.8,10.0,6,0,35.6
2,4,1,4,1.435,6.0,1,9.2,8.500000000000002,3.8,6.2,0,0,40.6,0.803,3.2,0,6.8,2.76,3.2,9.8,3,3,37.6
8,9,2,3,0.647,3.8,0,5.4,1.8,3.2,7.2,2,0,35.8,0.528,2.2,0,6.6,5.502000000000001,5.2,7.8,0,0,36.4
5,7,3,2,0.526,3.4,0,6.6,4.8260000000000005,3.6,9.2,0,0,37.8,0.484,3.6,0,9.2,5.0,2.8,10.6,0,0,37.4
9,3,1,4,0.963,3.2,0,8.6,5.052,5.6,8.0,9,4,45.6,1.116,3.4,2,6.6,9.85,4.4,6.2,1,0,44.8
1,8,1,4,0.817,2.0,0,6.6,2.4,4.2,5.6,2,0,40.0,0.436,2.8,0,3.8,1.7259999999999998,2.0,7.8,2,1,35.4
5,0,3,2,1.029,3.8,1,6.4,3.5260000000000007,3.8,7.0,5,0,37.0,0.869,4.2,0,3.6,5.726000000000001,3.2,8.2,4,3,41.0
3,8,1,0,0.342,5.8,0,8.6,5.054,5.2,7.2,2,2,41.2,1.119,4.2,1,5.2,4.2,3.6,6.2,0,0,38.4
0,2,3,2,0.87,5.6,0,7.2,6.376,3.6,6.2,0,0,40.4,0.555,1.8,0,8.6,2.33,2.4,6.4,2,0,37.8
6,0,3,2,0.811,2.4,1,7.0,3.5460000000000003,4.0,7.0,2,0,38.6,0.661,5.6,0,6.2,5.6,4.6,7.8,5,4,43.0
9,6,3,2,0.712,1.4,1,6.0,2.664,3.6,8.6,2,0,38.2,0.65,2.0,0,11.0,6.182,3.8,7.0,1,1,38.0
3,1,0,5,0.711,2.6,1,8.2,4.8,4.4,7.0,4,1,38.0,0.983,3.6,1,8.8,5.4,2.2,7.2,1,0,38.8
3,8,0,5,0.886,2.6,1,6.2,6.126,4.2,5.4,0,0,41.8,0.551,4.6,0,4.6,2.8,3.8,5.8,0,1,40.0
3,0,4,1,1.029,3.0,2,8.4,5.5760000000000005,2.8,8.8,0,0,36.6,0.485,3.6,0,8.8,3.7,5.2,8.6,3,2,40.4
4,3,3,2,0.983,1.2,1,5.2,5.2,3.2,7.8,8,4,41.8,1.005,3.4,1,6.4,1.276,2.2,8.0,5,2,35.2
2,6,1,0,0.36,5.2,1,7.6,2.4,4.0,7.2,1,1,38.6,0.701,3.2,1,9.2,5.026,5.2,7.8,1,1,40.2
4,3,2,3,0.715,4.0,0,7.2,2.0,2.2,7.8,2,1,39.4,0.641,3.8,1,6.2,3.5520000000000005,4.4,6.4,1,1,37.6
6,5,3,2,0.879,4.2,1,8.2,9.352,3.8,5.6,0,0,43.4,0.64,2.2,1,8.4,5.15,2.4,8.2,5,2,38.2
